"Agency1","Agency2","Agency3","Intrin1","Intrin2","Intrin3","Extrin1","Extrin2","Extrin3","PosAFF1","PosAFF2","PosAFF3","NegAFF1","NegAFF2","NegAFF3","Sex","gender","ethnicity","race"
2.5269,2.5,2.3333,4,3.5,3.5,3.0914,2.6667,2.4081,3,2.5,3,1.5,2,1.5,1,"male","White","White"
1.8582,2.0072,1.7902,2,2.668,3,1.3333,1.7007,2.1667,3.2091,2.8711,3.0608,1.6857,1.3382,1.7044,1,"male","Black","Nonwhite"
1.8404,1.9258,1.7669,2,2.5067,3,1.3333,1.5262,2.1667,3.1867,2.9229,2.9803,1.6796,1.4581,1.5966,1,"male","Black","Nonwhite"
2.1667,2.6667,2.3333,3,4,3.5,1.5,1.3333,1.5,3.5,3.5,3.5,1,1,1,1,"male","White","White"
3,3.1667,3.3333,3,2,3.5,2.6667,3.4131,3.8333,3.5,3,2.5,1.5,1.5,1,1,"male","White","White"
2.1583,2.5412,2.2579,4,3.0596,3,2.1667,1.9252,1.5,3,3.1341,2,1,1,1,1,"male","White","White"
2.4142,2.6828,2.7558,3.0094,3.5,3,1.5752,1.6667,1.6667,4,3,4,3,3,2,1,"male","Hispanic","Nonwhite"
1.8333,2.3333,2.1667,2.5,4,2.5,1.5,1.6667,1.8333,3,2.5,3,1,1,1,1,"male","White","White"
1.8399,2.2545,1.772,2.8905,1.5,3,1.6316,1.3333,1.6667,2.5,2.5,3,1,1.5,1,1,"male","White","White"
2.3908,2.612,2.5207,2.6351,2.9278,3.1327,1.6991,1.8281,1.74,3.1424,2.9234,3.0123,1.6534,1.5235,1.5099,1,"male","White","White"
2.6667,2.5,2.6667,2,2.5,2.5,1.1667,2,1,4,4,4,1,1,1,1,"male","White","White"
3.6667,3.1667,3,1,1,3,1.5,1.9109,2.3333,2,2.5,2.5,1,1.5,1,1,"male","Hispanic","Nonwhite"
3.6667,3.1667,3,1,1,3,1.5,1.908,2.3333,2,2.5,2.5,1,1.5,1,1,"male","Hispanic","Nonwhite"
2.3952,2.4139,2.3318,3,4,2.5,1.6667,2.1667,1.8333,3,3,3,1,1,1,1,"male","White","White"
2.6398,2.6384,2.7444,3.1695,3,3.2608,1.163,1.3364,1.4697,2,1.5,1.5,3,3.5,2.5,2,"female","White","White"
2.8333,2.8883,2.6484,3.1532,2.5,4,2.4933,2,2.5,3.5,4,4,1.5,1,1,2,"female","Hispanic","Nonwhite"
2.1623,2,2,3.5,3.5,3,1.5,1.3333,1.1667,3.5,2.5,3.5,1,1,1,2,"female","White","White"
2.8333,3.1667,2.8333,2.5,3,4,1.5412,1,1,3.5,3.5,3.5,1,1,1.9292,2,"female","White","White"
1.6667,2.5,2.3333,3.5,4,3.5,1.1667,1.3333,1.1667,3,3,2.5,1.5,2,1.5,2,"female","Black","Nonwhite"
