Urban Area,PopGroup,Year,Population,PopRank,Peak Travelers,Commuters,Freeway Daily VMT,Freeway Lane miles,Arterial Daily VMT,Arternial Lane-miles,Transit Passenger Miles,Transit Passenger Trips,Value of Time,Commercial Value of Time,Avg. State Gas Cost,Avg. State Diesel Cost,% Peak VMT Congested,% Lane-miles Congested,Number of Rush Hours,Gallons Excess Fuel,Gallons Excess Ranged,Gallons Excess per Commuter,Gallons per Rank,Total Hours of Delay,Total Delay Rank,Delay per Commuter,Rank,Travel Time Index,TTI Rank,Commuter Stress Index,CSI Rank,Freeway Planning Time Index 95,Freeway Planning Time Index 95 Rank,Freeway Planning Time Index 80,Freeway Planning Time Index 80 Rank,Excess CO2 lbs,Excess CO2 Rank,Excess CO2 per Peak Commuter,Excess CO2 per Peak Commuter Rank,Truck Congestion Cost,Truck Commodity Value,Annual Congestion Cost,Annual Congestion Cost Rank,Congestion Cost per Commuter,Congestion Cost per Commuter Rank,Delay Reduced due to Operations Treatments,Delay Reduced due to Operations per Commuter,Wasted Fuel Saved by Operations Treatments,Congestion Cost Saved by Operations Treatments,Delay Reduced due to Transit,Delay Reduced due to Transit per Commuter,Fuel Saved by Transit,Congestion Cost Saved by Transit,Roadway Congestion Index,Presence of Urban Rail in 2011,Size Category of Urban Rail in 2011
Sacramento CA,Lrg,2011,1895,24,1031,933,15556,835,14377,2421,171.4,31.4,16.79,86.81,3.51,3.65,81,60,4,16384,35,13,60,39138,31,32,47,1.2,27,1.22,37,3.01,41,1.68,30,254,39,207,84,172,52561,834,30,669,50,3636,4,1522.1070059788,77.5,1807,2,756.4486688129,38.5,1.3,1,3
Salem OR,Sml,2011,246,97,138,129,1617,152,2049,425,17.5,4.3,16.79,86.81,3.56,3.91,24,29,1.5,2106,93,12,69,4593,92,27,68,1.14,61,1.17,63,2.15,77,1.29,78,42,90,244,69,24,3889,101,92,580,70,106,1,48.6035271065,2.3,239,2,109.5871979099,5.2,0.82,0,0
Salt Lake City UT,Lrg,2011,1027,47,574,538,8444,612,8403,1570,299.6,41.6,16.79,86.81,3.33,3.69,58,54,4,9266,53,13,60,21903,47,30,53,1.14,61,1.17,63,2.02,84,1.3,76,185,53,257,60,71,56934,449,50,620,61,905,2,382.8575994156,18.6,3877,7,1640.153494955,79.6,1.01,1,3
San Antonio TX,Lrg,2011,1558,30,888,825,19114,1248,13345,3035,207,46.1,16.79,86.81,3.29,3.56,63,46,4,16776,33,16,43,39998,30,38,30,1.19,35,1.26,28,2.91,47,1.6,40,336,33,323,44,139,51263,825,31,787,38,1450,2,608.1604080204,29.9,1808,2,758.3131156558,37.3,1.05,0,0
San Diego CA,Vlg,2011,3121,15,1698,1528,37243,1977,22240,3637,608.3,102.2,16.79,86.81,3.51,4.02,75,58,5,29666,18,15,48,72331,16,37,37,1.18,37,1.27,24,2.9,48,1.66,31,427,25,218,76,314,86817,1537,17,774,41,6282,4,2576.5136939901,133.5,6401,4,2625.3206232459,136,1.32,1,3
San Francisco-Oakland CA,Vlg,2011,4101,11,2165,1931,51843,2533,30467,5208,2568.5,427.2,16.79,86.81,3.51,4.02,79,59,6,64509,10,25,6,155157,8,61,2,1.22,23,1.22,37,3.74,17,2,12,1298,10,503,5,643,132539,3279,8,1266,4,18956,10,7881.2596531255,400.6,36714,19,15264.4316788801,775.9,1.41,1,4
San Jose CA,Lrg,2011,1838,25,1048,973,17146,896,16563,2425,208,43.2,16.79,86.81,3.51,4.02,77,63,6,20028,28,17,40,47385,23,39,28,1.24,17,1.24,31,3.45,25,1.93,15,302,35,249,65,153,52751,971,26,800,35,3872,4,1636.560430516,79.3,2097,2,886.3293447293,42.9,1.37,1,3
San Juan PR,Lrg,2011,2333,21,1330,1235,12549,790,13120,2055,274.5,61.2,16.79,86.81,3.75,4.1,74,63,4.5,24095,20,15,48,45991,27,29,60,1.25,14,1.34,10,4.06,10,1.96,13,486,19,306,48,176,23406,980,25,625,60,1115,1,584.1561392446,23.7,5309,4,2781.4214737666,113.1,1.17,1,2
Sarasota-Bradenton FL,Med,2011,688,60,385,360,2517,180,6308,993,34.1,4.8,16.79,86.81,3.24,3.65,62,57,2.5,5301,67,11,80,10523,70,21,88,1.12,74,1.17,63,1.49,97,1.05,101,107,66,212,82,41,7682,222,70,444,87,668,2,336.5074598499,14.1,152,0,76.5705597263,3.2,1.13,0,0
Seattle WA,Vlg,2011,3286,14,1837,1659,33207,2316,27828,5328,1249.2,192.8,16.79,86.81,3.6,3.96,64,47,6,47156,13,22,15,100802,13,48,9,1.26,10,1.33,13,3.99,12,2.02,8,955,13,447,14,546,152596,2241,13,1050,10,8497,5,3974.9660919426,188.9,16483,10,7710.8822047182,366.5,1.03,1,3
Spokane WA-ID,Sml,2011,383,90,215,201,2369,255,4262,1200,53.1,11.5,16.79,86.81,3.6,3.96,13,15,1.75,3457,82,13,60,6107,86,23,83,1.12,74,1.13,81,2.95,45,1.51,50,70,80,257,60,38,7292,141,85,518,79,274,1,155.1036515474,6.4,576,3,326.0573112821,13.4,0.68,0,0
Springfield MA-CT,Med,2011,628,65,351,329,5613,511,5899,1480,33.5,10.8,16.79,86.81,3.49,3.73,21,24,2.5,6403,63,15,48,12084,66,28,63,1.13,68,1.17,63,2.16,76,1.27,82,128,62,292,52,40,9279,253,66,575,71,224,1,118.6918238994,4.7,349,1,184.9261006289,7.3,0.79,0,0
St. Louis MO-IL,Lrg,2011,2343,20,1336,1241,30207,2612,19743,4689,300.2,47.5,16.79,86.81,3.24,3.54,31,25,4,21572,23,13,60,49605,22,31,50,1.14,61,1.17,63,2.64,55,1.44,57,437,22,272,56,300,107500,1116,22,686,47,2083,2,905.8457010382,46.9,2958,2,1286.3617780466,66.5,0.83,1,3
Stockton CA,Sml,2011,409,87,229,215,3591,220,2235,486,60.9,5.1,16.79,86.81,3.51,4.02,34,32,1.5,1415,98,5,101,3519,97,12,100,1.1,87,1.13,81,1.74,93,1.25,86,19,100,67,98,35,10413,90,94,293,99,160,1,64.3364592214,4.1,237,1,95.2983802217,6.1,1.12,0,0
Tampa-St. Petersburg FL,Lrg,2011,2393,18,1364,1267,14360,1016,28370,3897,146.5,29.3,16.79,86.81,3.24,3.65,70,66,4,30539,17,18,30,62876,18,38,30,1.2,27,1.28,20,2.9,48,1.54,44,613,17,366,32,246,62643,1325,18,791,37,4591,4,2229.8579585215,96.8,1210,1,587.699440168,25.5,1.19,1,1
Toledo OH-MI,Med,2011,516,78,288,270,4013,390,4344,1217,15.1,3.3,16.79,86.81,3.25,3.69,22,23,2.5,4176,76,12,69,9195,78,26,71,1.13,68,1.16,69,2.64,55,1.37,66,84,75,234,72,48,11123,202,78,555,73,106,0,48.1409461664,2.3,318,1,144.4228384992,7,0.73,0,0
Tucson AZ,Med,2011,718,57,401,376,3793,258,10832,1779,82.9,20.6,16.79,86.81,3.19,3.68,61,58,2.5,12125,43,24,8,19078,53,38,30,1.16,51,1.21,45,2.06,83,1.24,88,248,41,491,7,155,28934,466,48,921,21,1124,3,714.3568508229,27.5,606,2,385.1425725967,14.8,1.13,0,0
Tulsa OK,Med,2011,717,58,401,376,7634,892,8197,1854,16.6,2.7,16.79,86.81,3.26,3.53,25,37,2.5,7242,58,15,48,15500,57,32,47,1.12,74,1.16,69,2.07,81,1.31,73,145,58,298,50,67,29127,331,57,668,51,100,0,46.7225806452,2.1,75,0,35.0419354839,1.6,0.69,0,0
Virginia Beach VA,Lrg,2011,1555,31,886,823,13144,957,18165,3267,122.4,20.2,16.79,86.81,3.29,3.6,50,44,4,19633,29,19,24,46172,26,43,20,1.2,27,1.28,20,3.41,26,1.65,33,392,27,373,29,131,43521,932,28,877,26,3710,5,1577.5454821104,74.9,1643,2,698.6272849346,33.2,1.02,0,0
Washington DC-VA-MD,Vlg,2011,4613,7,2343,2011,40082,2222,49729,7099,2589.7,484.6,16.79,86.81,3.58,3.74,85,69,7,85103,5,32,1,179331,4,67,1,1.32,4,1.39,3,5.72,1,2.56,1,1703,5,631,1,656,97285,3771,4,1398,1,14185,7,6731.6083387702,298.3,33810,17,16044.8133897653,711,1.32,1,4
Wichita KS,Med,2011,510,79,285,267,4558,623,4805,1824,13,2.4,16.79,86.81,3.3,3.64,5,9,2.5,2887,85,8,91,6906,83,20,89,1.09,93,1.12,89,2.57,60,1.31,73,58,83,166,91,25,7918,143,84,405,92,232,1,96.9858094411,4.8,213,1,89.0430060817,4.4,0.52,0,0
Winston-Salem NC,Sml,2011,388,89,218,204,4777,460,1665,373,7.5,3.5,16.79,86.81,3.32,3.64,18,23,1.5,2456,90,9,90,5385,89,20,89,1.11,79,1.14,78,2.09,80,1.25,86,50,86,183,87,29,8821,119,88,435,90,269,1,122.6859795729,6,52,0,23.7162488394,1.1,0.76,0,0
Worcester MA-CT,Sml,2011,447,85,251,235,5764,546,4740,1152,9.9,3.6,16.79,86.81,3.49,3.73,22,28,1.5,5117,69,16,43,10139,71,33,45,1.13,68,1.15,73,2.21,73,1.3,76,103,67,329,42,35,10171,212,74,677,49,322,1,162.5085314134,6.7,98,0,49.4591182562,2,0.77,0,0
Akron OH,Med,2010,620,66,345,324,5738,470,4712,1200,27,6.8,16.3,88.12,2.64,2.96,20,19,2.5,4154,77,10,86,9805,74,23,83,1.12,74,1.14,77,NA,NA,NA,NA,83,76,196,85,44,9828,209,76,484,85,68,0,28.8089750127,1.4,226,1,95.7474757777,4.8,0.85,NA,NA
Albany NY,Med,2010,615,68,343,321,7161,705,5429,1162,46.4,13.3,16.3,88.12,2.95,3.21,26,32,2.5,8019,56,19,23,13071,62,31,49,1.16,51,1.18,56,NA,NA,NA,NA,162,56,379,28,64,32655,293,60,681,47,369,1,226.3798485196,8.2,566,2,347.238466835,12.7,0.77,NA,NA
Albuquerque NM,Med,2010,625,65,348,326,5326,380,7566,1603,35.3,10.1,16.3,88.12,2.71,2.94,39,33,2.5,6357,62,15,48,12389,64,29,58,1.1,87,1.12,90,NA,NA,NA,NA,73,79,168,89,81,14035,286,62,653,54,834,3,427.9391395593,19.2,250,1,128.2791185729,5.8,0.98,NA,NA
Allentown-Bethlehem PA-NJ,Med,2010,633,63,353,330,5080,445,5382,969,24.1,5.4,16.3,88.12,2.78,3.12,38,42,2.5,6319,64,14,57,13205,60,30,53,1.17,47,1.19,51,NA,NA,NA,NA,128,61,288,54,69,15827,291,61,654,53,317,1,151.6942824688,7,343,1,164.1360848164,7.6,0.9,NA,NA
Anchorage AK,Sml,2010,304,95,170,159,1400,190,1973,386,29.3,4.5,16.3,88.12,3.42,3.66,16,26,1.5,1753,95,8,91,3592,95,17,93,1.18,37,1.2,42,NA,NA,NA,NA,31,93,143,93,16,4454,77,96,363,93,100,1,48.8028953229,2.2,256,2,124.9354120267,5.5,0.69,NA,NA
Atlanta GA,Vlg,2010,4304,8,2333,2099,48865,2930,42646,7586,934.4,155.6,16.3,88.12,2.6,2.88,77,58,5,62705,11,23,12,140217,10,50,8,1.24,17,1.31,11,NA,NA,NA,NA,1268,11,456,11,765,189488,3095,9,1106,7,6775,3,3029.7779513183,149.5,10385,5,4644.168859696,229.2,1.18,NA,NA
Austin TX,Lrg,2010,1305,35,741,689,12274,930,10677,2025,154.4,35.7,16.3,88.12,2.56,2.83,59,48,5.5,16567,33,19,23,37168,32,43,18,1.31,4,1.32,9,NA,NA,NA,NA,333,32,387,26,152,32824,786,34,902,22,1846,3,822.8229121825,39,2324,3,1035.8832328885,49.1,0.97,NA,NA
Bakersfield CA,Med,2010,538,76,300,281,2149,199,4432,1061,24.2,6.7,16.3,88.12,3.05,3.2,34,30,2.5,2215,92,6,97,4700,91,12,100,1.11,79,1.13,82,NA,NA,NA,NA,45,88,116,95,41,10838,116,91,295,98,185,1,87.1861702128,4.6,235,1,110.75,5.8,0.8,NA,NA
Baltimore MD,Lrg,2010,2511,17,1426,1325,26678,1561,18251,3252,730.5,113.8,16.3,88.12,2.73,2.98,76,57,4.25,32903,16,19,23,69929,17,41,23,1.23,20,1.24,29,NA,NA,NA,NA,664,16,390,23,377,94943,1550,16,904,21,3724,3,1752.2168485178,82.5,11166,8,5253.8274249596,247.4,1.2,NA,NA
Baton Rouge LA,Med,2010,607,70,338,317,4714,283,7973,1457,16.4,4,16.3,88.12,2.61,2.84,44,39,5,10151,51,26,4,17038,55,42,21,1.22,23,1.29,18,NA,NA,NA,NA,209,49,524,3,147,32636,422,53,1047,9,1019,3,607.1058222796,25.2,164,1,97.7088860195,4.1,1.15,NA,NA
Beaumont TX,Sml,2010,242,98,135,127,2973,254,3253,980,3,0.6,16.3,88.12,2.56,2.83,15,15,1.5,2080,94,12,69,4188,93,25,75,1.1,87,1.1,97,NA,NA,NA,NA,42,90,247,65,19,20504,91,93,529,77,98,1,48.6723973257,2.1,40,0,19.8662846227,0.9,0.79,NA,NA
Birmingham AL,Med,2010,859,52,478,448,10160,775,7900,1593,20.6,3.2,16.3,88.12,2.6,2.86,44,39,3.25,10280,49,18,30,20854,49,35,40,1.19,35,1.21,39,NA,NA,NA,NA,208,50,355,36,107,38401,457,49,771,40,981,2,483.5849237556,21.5,261,1,128.6602090726,5.7,0.95,NA,NA
Boise ID,Sml,2010,314,94,176,164,1592,150,4159,750,6,1.2,16.3,88.12,2.84,3.11,39,48,2,1636,96,8,91,3579,96,16,94,1.06,100,1.2,42,NA,NA,NA,NA,26,95,118,94,10,4772,73,97,329,95,63,0,28.7979882649,1.3,34,0,15.5417714445,0.7,0.93,NA,NA
Boston MA-NH-RI,Vlg,2010,4294,9,2177,1959,42102,2911,34732,7265,1797.5,361.2,16.3,88.12,2.75,3.04,56,39,5,66214,8,26,4,136142,11,53,5,1.28,6,1.3,15,NA,NA,NA,NA,1330,8,523,4,558,128143,2904,11,1140,6,5792,3,2816.996136387,123.6,37715,19,18343.0609951374,804.5,1.02,NA,NA
Boulder CO,Sml,2010,150,101,84,79,673,63,1025,200,0,0,16.3,88.12,2.62,2.9,17,22,3,1177,100,12,69,2208,101,22,86,1.18,37,1.2,42,NA,NA,NA,NA,24,97,226,75,5,820,44,101,430,90,50,1,26.6530797101,1,115,1,61.3020833333,2.3,0.86,NA,NA
Bridgeport-Stamford CT-NY,Med,2010,931,50,519,486,10692,686,5929,1360,36.1,10.5,16.3,88.12,2.91,3.2,59,40,5,12135,42,19,23,26305,41,42,21,1.27,8,1.27,22,NA,NA,NA,NA,244,42,389,25,110,11205,562,42,895,24,1099,2,506.9897357917,23.5,380,1,175.3012735221,8.1,1.07,NA,NA
Brownsville TX,Sml,2010,211,100,118,111,830,81,1496,432,14.5,1.7,16.3,88.12,2.56,2.83,17,24,1.5,2260,91,15,48,3645,94,25,75,1.18,37,1.2,42,NA,NA,NA,NA,45,88,304,47,23,2380,84,95,557,72,68,1,42.1618655693,1.6,312,3,193.4485596708,7.2,0.72,NA,NA
Buffalo NY,Lrg,2010,1049,46,507,471,6938,800,9613,2380,87.3,25,16.3,88.12,2.95,3.21,20,21,4,11622,46,18,30,21566,47,33,45,1.17,47,1.19,51,NA,NA,NA,NA,234,46,357,34,102,48387,474,47,719,43,540,1,291.0080682556,11.9,1514,3,815.9003987759,33.4,0.68,NA,NA
Cape Coral FL,Sml,2010,465,83,260,244,1763,150,5780,911,17.5,3.1,16.3,88.12,2.74,2.96,42,39,2.25,5031,69,15,48,9795,76,29,58,1.15,57,1.17,62,NA,NA,NA,NA,101,68,297,49,52,5962,216,72,634,56,493,2,253.219295559,10.9,170,1,87.3169984686,3.8,1.07,NA,NA
Charleston-North Charleston SC,Med,2010,524,77,292,273,3677,268,5897,860,15.7,3.5,16.3,88.12,2.56,2.8,51,50,4.25,5003,70,14,57,10661,68,29,58,1.15,57,1.19,51,NA,NA,NA,NA,101,68,275,55,57,10552,235,68,634,56,346,1,162.3710721321,7.6,123,0,57.7215083013,2.7,1.12,NA,NA
Charlotte NC-SC,Lrg,2010,1052,43,598,555,12582,910,9897,1610,122.2,21.7,16.3,88.12,2.7,2.93,58,51,4,14353,38,20,19,28487,39,39,27,1.2,27,1.22,34,NA,NA,NA,NA,291,36,405,19,165,68196,642,37,883,25,1291,2,650.4624214554,29.1,1069,2,538.6090848457,24.1,1.04,NA,NA
Chicago IL-IN,Vlg,2010,8583,3,4678,3934,60800,3400,49326,13900,3963.4,620.7,16.3,88.12,2.79,3.04,88,70,5.25,126691,3,24,8,271023,3,51,6,1.25,13,1.3,15,NA,NA,NA,NA,2314,3,433,15,1712,357816,6198,3,1150,5,11680,3,5459.8719665859,267.1,67260,17,31441.0092870347,1538.2,1.15,NA,NA
Cincinnati OH-KY-IN,Lrg,2010,1712,27,979,881,19314,1358,12784,2880,147.3,28.7,16.3,88.12,2.64,2.96,47,35,4,20722,27,18,30,42660,29,37,34,1.2,27,1.22,34,NA,NA,NA,NA,420,26,363,32,229,64323,944,27,812,33,1310,1,636.3295827473,29,2298,3,1116.2483825598,50.8,0.99,NA,NA
Cleveland OH,Lrg,2010,1706,28,955,857,18635,1525,12265,3100,252.1,55.1,16.3,88.12,2.64,2.96,22,21,4,17543,31,15,48,35103,35,31,49,1.16,51,1.18,56,NA,NA,NA,NA,351,29,309,46,130,67808,739,36,644,55,1197,1,598.2101529784,25.2,3444,4,1721.1660541834,72.6,0.86,NA,NA
Colorado Springs CO,Med,2010,549,74,306,287,4315,395,5055,1335,24.6,3.7,16.3,88.12,2.62,2.9,31,27,3,4069,78,11,80,9798,75,26,71,1.13,68,1.16,64,NA,NA,NA,NA,82,77,211,81,35,6546,202,77,522,78,338,1,140.3676260461,7,320,1,132.8924270259,6.6,0.77,NA,NA
Columbia SC,Sml,2010,486,81,272,255,6056,485,5132,1045,11.3,2.2,16.3,88.12,2.56,2.8,34,39,1.5,4810,73,14,57,9999,72,30,53,1.11,79,1.11,95,NA,NA,NA,NA,97,71,289,53,58,12404,223,69,658,52,182,1,87.5507550755,4.1,298,1,143.3523352335,6.7,0.91,NA,NA
Columbus OH,Lrg,2010,1276,36,725,673,16000,1065,10500,2160,60.3,15.9,16.3,88.12,2.64,2.96,48,36,4,15338,36,18,30,35329,33,40,25,1.18,37,1.2,42,NA,NA,NA,NA,308,34,349,39,144,69664,745,35,838,29,1139,2,494.4940983328,24,748,1,324.742392935,15.8,1.05,NA,NA
Corpus Christi TX,Sml,2010,334,93,187,175,2916,320,2682,750,23.1,5.3,16.3,88.12,2.56,2.83,12,16,1.5,1328,99,6,97,3132,98,14,98,1.04,101,1.19,51,NA,NA,NA,NA,9,101,39,101,14,12327,66,99,284,100,29,0,12.2962962963,0.6,121,1,51.3052362708,2.6,0.67,NA,NA
Dallas-Fort Worth-Arlington TX,Vlg,2010,5158,6,3090,2935,61386,3650,43159,9700,467.8,72.7,16.3,88.12,2.56,2.83,68,43,5,73355,7,20,19,164466,6,44,14,1.25,13,1.29,18,NA,NA,NA,NA,1476,7,397,20,720,227514,3509,6,938,15,10389,4,4633.6938637773,221.7,6170,2,2751.938698576,131.6,1.14,NA,NA
Dayton OH,Med,2010,742,54,413,387,7318,655,6310,1520,45.6,10.3,16.3,88.12,2.64,2.96,25,24,2.5,6081,66,12,69,12392,63,24,80,1.11,79,1.13,82,NA,NA,NA,NA,123,65,234,70,52,33645,264,64,505,80,274,1,134.4572304713,5.8,346,1,169.7890574564,7.4,0.81,NA,NA
Denver-Aurora CO,Lrg,2010,2307,21,1446,1367,21817,1430,21193,3820,529.4,96.7,16.3,88.12,2.62,2.9,71,58,5.25,33907,15,20,19,74824,15,44,14,1.27,8,1.3,15,NA,NA,NA,NA,683,15,396,21,310,76023,1584,15,921,18,4369,3,1979.8418020956,92.5,5902,4,2674.5310862825,124.9,1.09,NA,NA
Detroit MI,Vlg,2010,3873,12,2184,2049,31800,2090,47500,8620,273.6,50.8,16.3,88.12,2.68,2.94,60,47,5,48755,12,18,30,106544,12,40,25,1.18,37,1.2,42,NA,NA,NA,NA,983,12,370,30,475,159328,2289,12,860,27,3857,2,1764.9800551885,82.9,2357,1,1078.5735001502,50.6,1.09,NA,NA
El Paso TX-NM,Med,2010,724,55,403,378,5569,500,6186,1575,63.6,12.6,16.3,88.12,2.56,2.83,30,25,3.5,8327,54,17,40,15665,56,31,49,1.21,25,1.23,32,NA,NA,NA,NA,168,54,328,42,79,31703,346,56,674,49,988,3,525.1883817427,21.8,1145,3,608.6444302585,25.3,0.79,NA,NA
Eugene OR,Sml,2010,255,96,143,134,1746,155,1860,412,41.1,11.1,16.3,88.12,2.86,3.1,18,23,1.5,998,101,6,97,2262,100,13,99,1.08,95,1.1,97,NA,NA,NA,NA,20,99,113,96,14,3658,51,100,283,101,122,1,53.8267020336,2.7,337,3,148.6852343059,7.6,0.83,NA,NA
Fresno CA,Med,2010,682,60,380,356,3835,283,6281,1410,35.8,16.4,16.3,88.12,3.05,3.2,42,38,2.5,3106,83,7,95,7333,82,15,95,1.08,95,1.1,97,NA,NA,NA,NA,40,92,84,97,41,9474,163,82,335,94,524,1,221.947906723,11.6,226,1,95.725623892,5,0.94,NA,NA
Grand Rapids MI,Med,2010,608,69,339,317,5527,505,7800,1760,37.4,8.7,16.3,88.12,2.38,2.94,29,33,2.5,4542,75,11,80,9951,73,24,80,1.09,93,1.11,95,NA,NA,NA,NA,91,73,215,77,44,37551,214,73,498,82,206,1,94.0259270425,4.4,316,1,144.2339463371,6.8,0.82,NA,NA
Greensboro NC,Sml,2010,348,92,195,182,4450,545,3120,720,17.5,3.9,16.3,88.12,2.7,2.93,18,28,1.5,2979,84,12,69,6568,84,27,67,1.1,87,1.12,90,NA,NA,NA,NA,59,82,243,68,35,50964,145,83,583,66,328,2,148.7685749086,7.2,190,1,86.1769183922,4.1,0.64,NA,NA
Hartford CT,Med,2010,904,51,497,466,11580,930,7420,1664,106.6,16.4,16.3,88.12,2.91,3.2,41,29,3.5,11287,47,18,30,22970,45,38,29,1.18,37,1.2,42,NA,NA,NA,NA,226,47,368,31,75,42403,478,46,780,38,953,2,468.2851980845,19.8,1458,3,716.4321288637,30.3,0.89,NA,NA
Honolulu HI,Med,2010,713,56,397,372,6213,470,3110,520,312.8,68.1,16.3,88.12,3.47,4.04,60,51,4.25,11204,48,24,8,20699,50,45,13,1.36,2,1.38,3,NA,NA,NA,NA,223,48,481,9,53,10125,423,52,920,19,1056,3,571.5939900478,21.6,637,2,344.7967534664,13,0.98,NA,NA
Houston TX,Vlg,2010,4056,11,2389,2227,54300,3270,39587,8000,604.4,96,16.3,88.12,2.56,2.83,68,48,5.75,64688,9,23,12,143254,9,51,6,1.26,10,1.36,4,NA,NA,NA,NA,1301,9,455,12,635,230769,3065,10,1071,8,14846,7,6703.8829491672,317.6,6614,3,2986.6281709411,141.5,1.15,NA,NA
Indianapolis IN,Lrg,2010,1223,38,695,645,13800,1030,13900,2290,46.8,9.5,16.3,88.12,2.66,2.94,62,56,4,16599,32,19,23,34872,36,41,23,1.17,47,1.22,34,NA,NA,NA,NA,337,30,390,23,239,83984,810,31,922,17,749,1,356.5224535444,17.4,604,1,287.502752925,14,1.02,NA,NA
Indio-Cathedral City-Palm Springs CA,Med,2010,580,72,323,303,1088,110,4435,815,19.2,3.3,16.3,88.12,3.05,3.2,31,37,2.5,2757,86,7,95,5984,87,15,95,1.08,95,1.15,71,NA,NA,NA,NA,25,96,60,99,37,5455,137,86,328,96,204,1,93.9886363636,4.7,167,1,76.9416778075,3.8,0.93,NA,NA
Jackson MS,Sml,2010,422,86,236,221,4620,370,6440,1640,2.3,0.6,16.3,88.12,2.58,2.81,23,22,1.5,3986,79,13,60,7464,81,25,75,1.1,87,1.12,90,NA,NA,NA,NA,82,77,267,58,62,16984,181,79,588,64,257,1,137.2457127546,6.2,72,0,38.4501607717,1.7,0.86,NA,NA
Jacksonville FL,Lrg,2010,1073,42,609,566,12113,900,9400,1550,55.3,10.6,16.3,88.12,2.74,2.96,54,50,4,10205,50,13,60,22420,46,30,53,1.14,61,1.16,64,NA,NA,NA,NA,205,51,269,57,102,41508,482,45,629,58,1313,2,597.6433987511,28.2,496,1,225.766280107,10.7,1.02,NA,NA
Kansas City MO-KS,Lrg,2010,1575,29,895,831,21564,2050,12500,3380,74.7,17,16.3,88.12,2.49,2.77,23,23,4,12580,39,12,69,29262,37,27,67,1.13,68,1.15,71,NA,NA,NA,NA,254,38,234,70,147,72545,636,38,580,68,1386,2,595.8540086119,30.1,535,1,230.0013669606,11.6,0.75,NA,NA
Knoxville TN,Med,2010,504,80,282,264,5395,373,6490,1180,14,3.5,16.3,88.12,2.58,2.84,31,32,2.5,6289,65,18,30,13143,61,37,34,1.16,51,1.18,56,NA,NA,NA,NA,127,63,353,38,63,11989,285,63,786,36,556,2,266.0491516397,12,88,0,42.1084988207,1.9,1.05,NA,NA
Lancaster-Palmdale CA,Med,2010,604,71,336,315,1020,80,3865,805,38.1,2.9,16.3,88.12,3.05,3.2,29,32,2.5,2735,87,6,97,6519,85,15,95,1.08,95,1.14,77,NA,NA,NA,NA,21,98,50,100,24,2728,136,87,316,97,139,0,58.3164595797,2.9,539,2,226.1336094493,11.2,0.94,NA,NA
Laredo TX,Sml,2010,230,99,129,120,574,77,1876,360,14.1,4.2,16.3,88.12,2.56,2.83,94,123,1.5,1393,98,8,91,3009,99,19,92,1.14,61,1.16,64,NA,NA,NA,NA,28,94,167,90,20,30799,69,98,409,91,59,0,27.3137254902,1.4,150,1,69.4416749751,3.5,0.81,NA,NA
Las Vegas NV,Lrg,2010,1432,34,813,756,11600,720,14700,2600,218.7,63.2,16.3,88.12,2.86,3,77,58,4,21327,25,21,17,45073,28,44,14,1.2,27,1.33,8,NA,NA,NA,NA,426,24,414,17,136,35458,924,29,899,23,2512,3,1188.5923723737,51.5,2168,3,1025.823353227,44.4,1.14,NA,NA
Little Rock AR,Sml,2010,459,84,257,240,7700,650,4830,1140,13.4,2.5,16.3,88.12,2.58,2.86,32,32,2,3552,80,12,69,8044,80,26,71,1.07,99,1.1,97,NA,NA,NA,NA,48,87,157,92,33,15221,169,80,539,74,469,2,207.0969666832,9.9,23,0,10.1561412233,0.5,0.85,NA,NA
Los Angeles-Long Beach-Santa Ana CA,Vlg,2010,13124,2,7205,6521,132195,5770,116042,20400,3194,666.7,16.3,88.12,3.05,3.2,93,62,8,217966,2,27,3,497898,2,61,2,1.37,1,1.39,2,NA,NA,NA,NA,3550,2,432,16,2272,406939,10699,2,1290,2,60777,9,26606.4928599834,1306,32088,5,14047.2406155478,689.5,1.52,NA,NA
Louisville KY-IN,Lrg,2010,1076,41,611,568,12160,860,9315,1750,59.4,14.9,16.3,88.12,2.64,2.9,57,49,4,12415,40,17,40,26059,42,35,40,1.18,37,1.2,42,NA,NA,NA,NA,251,39,337,40,144,55226,580,41,770,41,686,1,326.82336237,15.3,652,1,310.6251199202,14.5,1.02,NA,NA
Madison WI,Sml,2010,398,88,222,208,3356,280,2899,750,46.1,13.1,16.3,88.12,2.71,2.99,26,30,1.5,2577,89,10,86,5283,90,20,89,1.11,79,1.13,82,NA,NA,NA,NA,52,85,192,86,29,17361,118,88,431,89,111,1,54.1448040886,2.5,356,2,173.6536059057,7.9,0.84,NA,NA
McAllen TX,Med,2010,565,73,315,295,3120,275,6039,1510,1.4,0.1,16.3,88.12,2.56,2.83,30,40,2.5,6341,63,16,43,11211,67,27,67,1.16,51,1.18,56,NA,NA,NA,NA,127,63,313,45,43,7678,239,67,586,65,71,0,40.157969851,1.5,108,0,61.0853625903,2.3,0.81,NA,NA
Memphis TN-MS-AR,Lrg,2010,1052,43,598,555,8493,667,12759,3335,56.7,11,16.3,88.12,2.58,2.84,32,30,4,14358,37,19,23,28537,38,38,29,1.18,37,1.2,42,NA,NA,NA,NA,289,37,381,27,152,98356,632,39,828,30,1098,2,552.4436345797,24.4,686,1,345.1514875425,15.2,0.86,NA,NA
